Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Revenue (Millions)
865,The 9th Life of Louis Drax,Mystery,A psychologist who begins working with a young boy who has suffered a near-fatal fall finds himself drawn into a mystery that tests the boundaries of fantasy and reality.,Alexandre Aja,"Jamie Dornan, Aiden Longworth, Sarah Gadon,Aaron Paul",17/06/2016,108,6.3,0
866,Horns,Drama,"In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his temples.",Alexandre Aja,"Daniel Radcliffe, Juno Temple, Max Minghella, Joe Anderson",26/06/2013,120,6.5,0.16
867,Indignation,Drama,"In 1951, Marcus, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with sexual repression and cultural disaffection, amid the ongoing Korean War.",James Schamus,"Logan Lerman, Sarah Gadon, Tijuana Ricks, Sue Dahlman",05/09/2016,110,6.9,3.4
868,The Stanford Prison Experiment,Biography,Twenty-four male students out of seventy-five were selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building.,Kyle Patrick Alvarez,"Ezra Miller, Tye Sheridan, Billy Crudup, Olivia Thirlby",26/01/2015,122,6.9,0.64
869,Diary of a Wimpy Kid: Rodrick Rules,Comedy,"Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond.",David Bowers,"Zachary Gordon, Devon Bostick, Robert Capron,Rachael Harris",03/03/2011,99,6.6,52.69
870,Mission: Impossible III,Action,Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fianceé in response .,J.J. Abrams,"Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman",02/03/2006,126,6.9,133.38
871,En man som heter Ove,Comedy,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",Hannes Holm,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll",12/07/2015,116,7.7,3.36
872,Dragonball Evolution,Action,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",James Wong,"Justin Chatwin, James Marsters, Yun-Fat Chow, Emmy Rossum",17/10/2009,85,2.7,9.35
873,Red Dawn,Action,A group of teenagers look to save their town from an invasion of North Korean soldiers.,Dan Bradley,"Chris Hemsworth, Isabel Lucas, Josh Hutcherson, Josh Peck",08/05/2012,93,5.4,44.8
874,One Day,Drama,"After spending the night together on the night of their college graduation Dexter and Em are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day.",Lone Scherfig,"Anne Hathaway, Jim Sturgess, Patricia Clarkson,Tom Mison",04/07/2011,107,7,13.77
